Model,Accuracy,F1 Score,ROC AUC
Logistic Regression,0.8212290502793296,0.8199351290861244,0.8945945945945947
XGBoost,0.8212290502793296,0.8199351290861244,0.8841698841698842
Random Forest,0.8212290502793296,0.8174768615025432,0.8803088803088803
LightGBM,0.8156424581005587,0.8140397158008151,0.8692406692406691
